,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitching Data for 547888 for game: gid_2017_04_27_nyamlb_bosmlb_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,sb
2017-04-27,170427_234905bos,095e3899-4f98-43f3-b82b-6585d5938f34,3,3,547888,593523,19,Groundout,X,129,3.371,1.535,-5.74423,3.83528,FS,22,0.871,L,1,1,R,gid_2017_04_27_nyamlb_bosmlb_1/,"In play, out(s)",236.253,-1.48971,3,nya,0.0789294061,-125.6979876648,0.3170598643,-5.1136969583,2.249117045,-5.74423,3.83528,-1.3558458731,55,5.402078797,4.6246345661,-128.6789044751,-3.5227383594,-8.4781520004,25.2758784637,-28.4501212006,87.83,-0.146276231,1.1780733727,-0.0297806,1.08544,11
2017-04-27,170427_234939bos,550829d2-e2e5-4996-b5c8-6de39ab021b6,6,1,547888,456030,20,Groundout,B,133,3.285,1.487,-4.53706,7.77072,FF,23,0.909,R,0,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,210.249,-1.32727,3,nya,0.0773407033,-128.3471772002,0.3098110202,-3.83161389,6.0145161662,-4.53706,7.77072,-1.5893643771,55,5.300286123,6.2070481119,-131.1893760802,-4.816970548,-6.6532947655,24.5884833679,-21.7352679138,89.61,0.4491029451,1.2844990135,0.570992,1.19278,0
2017-04-27,170427_234957bos,aeaa32e3-0719-4efd-9253-33d9024cd06d,6,2,547888,456030,20,Groundout,S,134,3.285,1.487,2.51049,3.06635,SL,22,0.917,R,0,1,R,gid_2017_04_27_nyamlb_bosmlb_1/,Foul,140.717,-0.877409,3,nya,0.0817716338,-121.2917716148,0.3290182965,3.0837589326,1.3608993393,2.51049,3.06635,-1.6508710288,55,5.2330405784,2.6924076398,-124.2797765706,-1.085426659,4.7477634315,24.4589667664,-30.0837557678,84.76,0.0471216862,1.6813517276,0.172507,1.59721,10
2017-04-27,170427_235021bos,6ef098a1-66ab-4995-bcaf-799d4f1a928c,6,3,547888,456030,20,Groundout,S,135,3.285,1.487,-8.88162,8.61906,SI,11,0.911,R,1,1,R,gid_2017_04_27_nyamlb_bosmlb_1/,Foul,225.837,-0.118669,3,nya,0.0750630365,-132.1709994684,0.3015467085,-8.0619395509,6.924605064,-8.88162,8.61906,-1.5468090347,55,5.2547258056,5.3641061337,-135.3098586147,-2.9453886945,-14.776756012,27.9861579285,-19.4868681793,92.35,-0.592183334,2.3686349513,-0.478742,2.27932,11
2017-04-27,170427_235046bos,9fa7e919-0527-4a72-8818-f9a20eac8912,6,4,547888,456030,20,Groundout,B,136,3.285,1.487,-8.79375,5.14636,FS,23,0.63,R,2,1,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,239.647,-2.62547,3,nya,0.0779302563,-127.376046587,0.3121748234,-8.053126009,3.5381627868,-8.79375,5.14636,-1.5091643655,55,5.4414786486,7.4747599042,-130.1972404148,-6.8035806901,-13.7726494904,24.222138916,-26.1279490356,89.04,0.4295826698,0.1248509431,0.547576,0.0257005,12
2017-04-27,170427_235113bos,514d7ceb-2058-42b2-b6b6-bbfbc7158cd1,6,5,547888,456030,20,Groundout,B,137,3.285,1.487,-0.66692,2.62352,SL,24,0.953,R,2,2,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,194.225,-1.38431,3,nya,0.0804609462,-123.0799212827,0.3264371665,-0.0551824188,0.9407371135,-0.66692,2.62352,-1.6507374286,55,5.2198262267,6.1481994934,-126.6746865399,-2.0779835707,-0.086307847,29.9269729004,-30.7076437836,86.48,1.0861488708,1.2302109843,1.21463,1.1415,22
2017-04-27,170427_235140bos,e1acf40e-77c4-4e80-a126-c119bc4b2aa5,6,6,547888,456030,20,Groundout,X,138,3.285,1.487,-6.442,3.09274,SI,16,0.592,R,2,3,R,gid_2017_04_27_nyamlb_bosmlb_1/,"In play, out(s)",244.342,-0.723211,3,nya,0.0777762013,-127.5939645197,0.3120055402,-5.8227338757,1.5643528939,-6.442,3.09274,-1.5740116294,55,5.3120554601,4.4151976747,-130.5231364267,-1.8206062139,-9.9689881439,25.202312027,-29.500702179,89.05,-0.5973528376,1.8274975134,-0.482415,1.73583,32
2017-04-28,170428_000523bos,cc4264cd-c2c3-4fd8-bd0e-817a65da42ad,4,1,547888,643217,25,Strikeout,S,182,3.301,1.504,4.76293,-5.33344,CU,11,0.937,L,0,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Called Strike,41.7412,0.467958,4,nya,0.0908023698,-109.2227059473,0.3654628201,5.4528916072,-7.3142727313,4.76293,-5.33344,-1.5457774121,55,5.4240896951,0.5761619273,-111.9314275426,5.2896543443,6.8043902283,19.9681659088,-41.3061144714,76.4,-0.402721334,2.8885498906,-0.280514,2.82296,0
2017-04-28,170428_000537bos,062ddbb5-f321-4474-b184-1f52006511d3,4,2,547888,643217,25,Strikeout,B,183,3.301,1.504,-2.67606,2.00262,SL,15,0.473,L,1,0,R,gid_2017_04_27_nyamlb_bosmlb_1/,Ball,233.173,-0.436711,4,nya,0.0797639842,-124.5106317328,0.3186653595,-2.0744398564,0.4215026278,-2.67606,2.00262,-1.4771702854,55,5.4136426618,0.5137272174,-127.0796200688,-0.6764166612,-3.4047081108,21.5444140778,-31.4872019653,86.65,-1.5786503773,2.0984451068,-1.46652,2.01011,1
2017-04-28,170428_000610bos,386ff784-9067-4824-a8f0-f1b895ee00f0,4,3,547888,643217,25,Strikeout,S,184,3.301,1.504,-9.6271,6.7508,SI,15,0.919,L,1,1,R,gid_2017_04_27_nyamlb_bosmlb_1/,Called Strike,234.943,-0.812295,4,nya,0.0753832646,-131.6609314804,0.3022017676,-9.0097673304,5.2766322323,-9.6271,6.7508,-1.5602333532,55,5.3500972804,4.6164907504,-134.6334330173,-3.9614201084,-16.4425179596,26.3853469238,-22.5493262177,91.89,-1.0599791475,1.7662420831,-0.949512,1.67265,11
